Sector,marketcap,company_number,avg_marketcap
Basic Materials,939213286912,22,42691513041.454544
Communication Services,7113810424832,22,323355019310.5455
Consumer Cyclical,5207514890752,57,91359910364.07018
Consumer Defensive,3081376404480,37,83280443364.32433
Energy,1697200332800,22,77145469672.72728
Financial Services,6389737756672,66,96814208434.42424
Healthcare,5661717380096,64,88464334064.0
Industrials,3749141992960,72,52071416568.888885
Real Estate,1080099971072,31,34841934550.70968
Technology,15899005734912,78,203833406857.84616
Utilities,1128116282368,32,35253633824.0
